,open,high,low,close,volume,ticker
2024-06-25 13:30:00,148.47999572753906,148.77349853515625,148.3000030517578,148.5,63214,TGT
2024-06-25 13:31:00,148.50750732421875,148.88250732421875,148.3000030517578,148.875,18845,TGT
2024-06-25 13:32:00,148.72999572753906,148.8699951171875,148.3350067138672,148.3350067138672,5684,TGT
2024-06-25 13:33:00,148.59500122070312,148.60499572753906,148.35000610351562,148.48500061035156,6377,TGT
2024-06-25 13:34:00,148.32000732421875,148.36819458007812,147.5749969482422,147.72000122070312,10899,TGT
2024-06-25 13:35:00,147.72000122070312,147.89999389648438,147.5,147.77999877929688,15296,TGT
2024-06-25 13:36:00,147.77999877929688,147.8300018310547,147.52999877929688,147.63999938964844,10675,TGT
2024-06-25 13:37:00,147.63999938964844,148.1699981689453,147.63999938964844,148.08999633789062,13139,TGT
2024-06-25 13:38:00,148.02999877929688,148.17999267578125,147.9499969482422,147.98500061035156,12392,TGT
2024-06-25 13:39:00,147.98500061035156,147.98500061035156,147.69000244140625,147.69000244140625,7825,TGT
2024-06-25 13:40:00,147.69000244140625,147.82000732421875,147.55999755859375,147.74000549316406,15918,TGT
2024-06-25 13:41:00,147.74000549316406,147.8800048828125,147.66000366210938,147.7449951171875,15406,TGT
2024-06-25 13:42:00,147.7100067138672,147.7100067138672,147.38999938964844,147.4949951171875,12466,TGT
2024-06-25 13:43:00,147.41000366210938,147.5500030517578,146.75999450683594,147.02999877929688,31086,TGT
2024-06-25 13:44:00,147.02999877929688,147.08999633789062,146.85000610351562,146.9550018310547,14011,TGT
2024-06-25 13:45:00,146.94500732421875,147.3000030517578,146.864501953125,147.3000030517578,10255,TGT
2024-06-25 13:46:00,147.35000610351562,147.35000610351562,146.8699951171875,146.9600067138672,11885,TGT
2024-06-25 13:47:00,146.98500061035156,147.0,146.8800048828125,146.97500610351562,3391,TGT
2024-06-25 13:48:00,146.9600067138672,147.1300048828125,146.9550018310547,147.11000061035156,5126,TGT
2024-06-25 13:49:00,147.22999572753906,147.5399932861328,147.08999633789062,147.5,5582,TGT
2024-06-25 13:50:00,147.5,147.5399932861328,147.4221954345703,147.4221954345703,2098,TGT
2024-06-25 13:51:00,147.44500732421875,147.4499969482422,147.35000610351562,147.42999267578125,7215,TGT
2024-06-25 13:52:00,147.40499877929688,147.66000366210938,147.40499877929688,147.66000366210938,5695,TGT
2024-06-25 13:53:00,147.6300048828125,147.85000610351562,147.50010681152344,147.7899932861328,4908,TGT
2024-06-25 13:54:00,147.7949981689453,147.7949981689453,147.3699951171875,147.3699951171875,9674,TGT
2024-06-25 13:55:00,147.47000122070312,147.52000427246094,147.4550018310547,147.4550018310547,1680,TGT
2024-06-25 13:56:00,147.4499969482422,147.4499969482422,147.22999572753906,147.36000061035156,6678,TGT
2024-06-25 13:57:00,147.39500427246094,147.39500427246094,147.14999389648438,147.14999389648438,3453,TGT
2024-06-25 13:58:00,147.19000244140625,147.19500732421875,147.11500549316406,147.18499755859375,1586,TGT
2024-06-25 13:59:00,147.18499755859375,147.4149932861328,147.02999877929688,147.4149932861328,13482,TGT
2024-06-25 14:00:00,147.39999389648438,147.47000122070312,147.35000610351562,147.39500427246094,12554,TGT
2024-06-25 14:01:00,147.36000061035156,147.61000061035156,147.33999633789062,147.61000061035156,15839,TGT
2024-06-25 14:02:00,147.75999450683594,147.9600067138672,147.7050018310547,147.80999755859375,4237,TGT
2024-06-25 14:03:00,147.8300018310547,147.8300018310547,147.60000610351562,147.64500427246094,6168,TGT
2024-06-25 14:04:00,147.6475067138672,147.8199005126953,147.6475067138672,147.8199005126953,4449,TGT
2024-06-25 14:05:00,147.81280517578125,147.8199005126953,147.5800018310547,147.66000366210938,5110,TGT
2024-06-25 14:06:00,147.6300048828125,147.63499450683594,147.5800018310547,147.58399963378906,1591,TGT
2024-06-25 14:07:00,147.55999755859375,147.56500244140625,147.46499633789062,147.47999572753906,4835,TGT
