,open,high,low,close,volume,ticker
2024-06-25 14:32:00,,,,,,GWW
2024-06-25 14:33:00,,,,,,GWW
2024-06-25 14:34:00,,,,,,GWW
2024-06-25 14:35:00,,,,,,GWW
2024-06-25 14:36:00,900.3400268554688,901.8300170898438,900.3400268554688,901.8300170898438,1907.0,GWW
2024-06-25 14:37:00,,,,,,GWW
2024-06-25 14:38:00,,,,,,GWW
2024-06-25 14:39:00,902.0,902.0,902.0,902.0,457.0,GWW
2024-06-25 14:40:00,903.8599853515625,903.8599853515625,903.8599853515625,903.8599853515625,167.0,GWW
2024-06-25 14:41:00,,,,,,GWW
2024-06-25 14:42:00,903.9099731445312,903.9099731445312,903.9099731445312,903.9099731445312,358.0,GWW
2024-06-25 14:43:00,,,,,,GWW
2024-06-25 14:44:00,902.2999877929688,902.2999877929688,901.8200073242188,901.8200073242188,1219.0,GWW
2024-06-25 14:45:00,,,,,,GWW
2024-06-25 14:46:00,,,,,,GWW
2024-06-25 14:47:00,902.0,902.0,901.9249877929688,901.9249877929688,749.0,GWW
2024-06-25 14:48:00,902.1900024414062,902.1900024414062,902.1900024414062,902.1900024414062,555.0,GWW
2024-06-25 14:49:00,,,,,,GWW
2024-06-25 14:50:00,,,,,,GWW
2024-06-25 14:51:00,,,,,,GWW
2024-06-25 14:52:00,,,,,,GWW
2024-06-25 14:53:00,901.8599853515625,901.8599853515625,901.4364013671875,901.4364013671875,806.0,GWW
2024-06-25 14:54:00,,,,,,GWW
2024-06-25 14:55:00,901.0,901.0900268554688,900.8300170898438,901.0,3001.0,GWW
2024-06-25 14:56:00,,,,,,GWW
2024-06-25 14:57:00,,,,,,GWW
2024-06-25 14:58:00,,,,,,GWW
2024-06-25 14:59:00,,,,,,GWW
2024-06-25 15:00:00,,,,,,GWW
2024-06-25 15:01:00,900.8900146484375,900.8900146484375,900.8900146484375,900.8900146484375,323.0,GWW
2024-06-25 15:02:00,900.0,900.0,900.0,900.0,2742.0,GWW
